5.63,00:45:15
6.00,00:50:00,2024/04/01
10.01,01:10:47,2024/04/02
9.54,01:05:39,2024/04/03
10.43,01:04:45,2024/04/04
5.53,00:47:52,2024/04/05
8.43,01:00:15,2024/04/06
10.24,01:04:16,2024/04/07
14.44,01:32:41,2023/06/16
4.73,00:29:49,2024/04/08
6.39,00:46:17,2024/04/09
7.84,00:52:59,2024/04/10
8.47,00:57:14,2024/04/11
9.92,01:01:52,2024/04/12
4.18,00:32:19,2024/04/13
12.63,01:09:41,2024/04/14
11.49,01:05:37,2024/04/15
5.62,00:45:39,2023/01/15
6.56,00:50:26,2024/04/16
9.65,01:05:36,2024/04/17
4.49,00:30:16,2021/10/21
6.91,00:51:41,2020/11/28
7.19,00:55:38,2024/04/18
13.99,01:23:12,2024/04/09
13.18,01:21:04,2020/07/25
13.21,01:18:05,2024/04/19
6.41,00:55:13,2024/04/20
7.37,00:59:08,2024/04/21
8.59,01:01:57,2024/04/22
3.00,00:15:10,2024/04/23
